Date,Stock Name,sentiment,stock_performance,pct_change,one_day_price,two_day_price,three_day_price,historical_price,sentiment
2021-10-21,NIO,0,-1,-2.727045582433725,39.78,40.03,39.61,36.07,0
2021-10-21,PG,-1,0,1.076577224438144,129.52,129.01,130.55,130.12,-1
2021-10-21,PYPL,-1,0,-1.155385362366586,258.36,271.7,270.33,264.72,-1
2021-10-21,TSLA,1,1,1.7539107559511324,288.6,288.09,290.04,265.37,1
2021-10-21,TSM,0,-1,-1.771436223050199,108.57,109.85,108.33,105.83,0
2021-10-21,VZ,0,0,-0.8615756088535255,43.62,42.59,42.24,43.2,0
2021-10-22,AAPL,0,0,-0.03361912201283905,146.7,146.48,145.99,141.41,0
2021-10-22,AMD,1,1,2.119847205805879,119.33,116.39,116.33,107.29,1
2021-10-22,AMZN,-1,0,-0.4550989805058221,171.75,170.75,172.21,166.6,-1
2021-10-22,BA,0,0,-0.04695783581838251,214.34,216.17,215.97,221.32,0
2021-10-22,GOOG,-1,0,0.10675617389765651,142.11,141.74,143.14,138.54,-1
2021-10-22,INTC,0,0,-0.10107896837319383,51.58,51.0,50.85,49.73,0
2021-10-22,META,1,0,1.256909113252264,340.28,339.18,338.4,334.58,1
2021-10-22,MSFT,-1,0,-0.3331603418014467,301.75,298.49,299.29,287.28,-1
2021-10-22,NFLX,0,0,1.0349203562768023,653.16,625.14,639.0,618.92,0
2021-10-22,NIO,0,1,6.147117602855293,39.97,39.78,40.03,36.3,0
2021-10-22,PG,-1,0,0.014217596618020021,128.58,129.52,129.01,129.99,-1
2021-10-22,TSLA,1,1,12.661598362581975,298.0,288.6,288.09,267.71,1
2021-10-22,TSM,0,0,-0.5165015026642487,109.22,108.57,109.85,105.88,0
2021-10-25,AAPL,-1,0,0.45747842919225784,145.92,146.7,146.48,141.28,-1
2021-10-25,AMD,1,0,0.46583825758496866,119.82,119.33,116.39,108.2,1
2021-10-25,AMZN,1,1,1.6775261603935518,166.78,171.75,170.75,166.05,1
2021-10-25,BA,0,0,-1.437495950008917,212.97,214.34,216.17,221.13,0
2021-10-25,DIS,1,0,0.017449035435641257,167.35,169.25,168.47,171.52,1
2021-10-25,ENPH,1,-1,-3.3271951209971085,176.7,179.8,180.1,163.59,1
2021-10-25,META,1,-1,-3.9185760510433267,323.09,340.28,339.18,332.33,1
2021-10-25,MSFT,0,0,0.6425686507649532,300.19,301.75,298.49,287.44,0
2021-10-25,NIO,1,-1,-1.9384522127138766,38.88,39.97,39.78,36.52,1
2021-10-25,PG,0,0,1.4199610861826601,129.97,128.58,129.52,129.71,0
2021-10-25,PYPL,-1,-1,-1.5716156861930706,240.4,243.21,258.36,260.42,-1
2021-10-25,TSLA,1,0,-0.6274050392506694,303.23,298.0,288.6,271.65,1
2021-10-25,TSM,0,0,0.4751804049376504,107.29,109.22,108.57,105.51,0
2021-10-25,XPEV,1,-1,-5.718444564928979,43.14,43.5,42.94,38.54,1
2021-10-25,ZS,-1,0,1.3239058340545955,307.87,305.69,297.67,277.81,-1
2021-10-26,AAPL,0,0,-0.3147488803334691,145.87,145.92,146.7,141.5,0
2021-10-26,AMD,1,0,-0.5287574426627077,122.36,119.82,119.33,108.87,1
2021-10-26,AMZN,0,0,0.48636382454708643,166.02,166.78,171.75,166.04,0
2021-10-26,ENPH,1,1,24.651212297812915,179.43,176.7,179.8,164.34,1
2021-10-26,GOOG,0,1,4.836684871882036,138.12,137.97,142.11,138.13,0
2021-10-26,INTC,1,0,-0.8077643098446056,45.51,45.56,51.58,49.34,1
2021-10-26,META,1,0,-1.1367661108047442,327.15,323.09,340.28,332.09,1
2021-10-26,MSFT,1,1,4.211421384361701,299.19,300.19,301.75,288.0,1
2021-10-26,NIO,1,-1,-2.8663202679091877,41.27,38.88,39.97,36.74,1
2021-10-26,PG,0,0,-0.7140683644010288,129.99,129.97,128.58,129.72,0
2021-10-26,TSLA,0,1,1.9078438805710658,341.62,303.23,298.0,274.98,0
2021-10-26,TSM,0,0,-0.3765935739630818,106.74,107.29,109.22,105.57,0
2021-10-27,AAPL,0,1,2.499137706091378,146.54,145.87,145.92,141.73,0
2021-10-27,AMD,1,0,-0.9159266669678161,122.93,122.36,119.82,109.51,1
2021-10-27,AMZN,0,1,1.594115275917057,168.8,166.02,166.78,166.17,0
2021-10-27,DIS,0,0,0.07666702957853178,169.94,169.91,167.35,171.37,0
2021-10-27,GOOG,0,0,-0.20385227400509723,139.01,138.12,137.97,138.17,0
2021-10-27,META,-1,1,1.5053373157217333,314.33,327.15,323.09,331.28,-1
2021-10-27,MSFT,0,0,0.36511662375219645,301.11,299.19,300.19,288.6,0
2021-10-27,NFLX,1,1,1.6789363980178766,668.52,671.66,664.78,629.31,1
2021-10-27,NIO,0,1,3.7649440105130765,40.47,41.27,38.88,36.91,0
2021-10-27,TSLA,1,1,3.775074872979912,339.48,341.62,303.23,277.91,1
2021-10-27,TSM,1,1,1.9868181010921693,107.24,106.74,107.29,105.64,1
2021-10-28,AAPL,-1,-1,-1.815541971140637,146.08,146.54,145.87,141.88,-1
2021-10-28,AMZN,-1,-1,-2.1511245053778114,169.62,168.8,166.02,166.14,-1
2021-10-28,GOOG,0,0,1.4654887697339072,145.74,139.01,138.12,138.39,0
2021-10-28,META,0,1,2.0983309017310168,310.76,314.33,327.15,329.41,0
2021-10-28,MSFT,-1,1,2.2414317194041753,313.8,301.11,299.19,289.88,-1
2021-10-28,NFLX,1,1,2.4122854476809494,662.92,668.52,671.66,632.51,1
2021-10-28,NIO,1,-1,-3.3831846951244264,39.31,40.47,41.27,37.03,1
2021-10-28,PG,-1,0,0.21725463975048395,130.89,131.83,129.99,129.86,-1
2021-10-28,TSLA,1,1,3.431629436179361,345.95,339.48,341.62,281.65,1
2021-10-28,TSM,0,-1,-1.9912093855245232,106.84,107.24,106.74,105.54,0
2021-10-29,AAPL,1,0,-0.5607406210308249,149.73,146.08,146.54,142.36,1
2021-10-29,AMD,0,1,4.158695716872117,121.16,122.28,122.93,111.05,0
2021-10-29,AMZN,-1,-1,-1.6107099780024559,172.33,169.62,168.8,166.44,-1
2021-10-29,DIS,0,0,0.6624417700125409,167.61,167.48,169.94,170.77,0
2021-10-29,ENPH,1,1,3.410609044575716,224.46,216.22,173.46,170.89,1
2021-10-29,GOOG,0,-1,-3.032628260592635,145.44,145.74,139.01,138.84,0
2021-10-29,META,0,1,1.9810184889499731,315.43,310.76,314.33,328.33,0
2021-10-29,MSFT,-1,0,-0.6785023343509304,314.94,313.8,301.11,291.68,-1
2021-10-29,NIO,1,1,3.6285214684406637,40.79,39.31,40.47,37.29,1
2021-10-29,PG,-1,0,-0.24475463425965913,131.68,130.89,131.83,129.99,-1
2021-10-29,PYPL,0,0,-0.5632217976781239,236.83,234.94,243.0,256.11,0
2021-10-29,TSLA,0,1,8.491022777974516,359.01,345.95,339.48,286.18,0
2021-10-29,TSM,-1,0,0.3693960653668006,108.96,106.84,107.24,105.71,-1
2021-10-29,VZ,-1,0,-0.07548091989926912,42.96,42.82,43.19,43.04,-1
2021-10-29,ZS,1,0,-0.05644881266076618,316.34,310.1,315.32,285.35,1
2021-11-01,AAPL,0,0,0.711579512998288,147.01,149.73,146.08,142.99,0
2021-11-01,AMD,0,1,1.9164687631955533,120.23,121.16,122.28,112.88,0
2021-11-01,AMZN,1,0,-0.16154097805502052,168.62,172.33,169.62,166.84,1
2021-11-01,ENPH,1,0,-0.8015689803908028,231.63,224.46,216.22,176.87,1
2021-11-01,GOOG,-1,0,1.4529713567616822,147.57,145.44,145.74,139.98,-1
2021-11-01,META,1,0,-0.5757910913548824,322.05,315.43,310.76,326.41,1
2021-11-01,MSFT,1,0,1.1415745587484265,322.0,314.94,313.8,295.44,1
2021-11-01,NIO,-1,0,1.126344472952965,39.41,40.79,39.31,37.68,-1
2021-11-01,PG,0,0,0.9955273426044436,131.96,131.68,130.89,130.26,0
2021-11-01,TSLA,1,-1,-3.0274995292032605,371.33,359.01,345.95,294.5,1
2021-11-01,TSM,0,0,-0.008762097174860711,106.79,108.96,106.84,105.9,0
2021-11-01,XPEV,1,-1,-2.026315913200853,46.63,46.24,45.9,41.33,1
2021-11-02,AAPL,1,0,0.9799089997884656,146.18,147.01,149.73,143.15,1
2021-11-02,AMD,0,1,2.272194302504573,125.23,120.23,121.16,113.47,0
2021-11-02,AMZN,0,1,2.1507811127532297,165.91,168.62,172.33,166.79,0
2021-11-02,BA,0,0,0.2866948339063955,214.58,207.03,207.85,217.5,0
2021-11-02,DIS,-1,0,0.14720541203644372,168.11,167.01,167.61,170.5,-1
2021-11-02,INTC,0,0,1.0629857914426362,45.64,45.13,44.28,48.17,0
2021-11-02,META,-1,0,1.0790183564708204,328.43,322.05,315.43,326.51,-1
2021-11-02,MSFT,1,0,0.2611475965080943,319.82,322.0,314.94,296.6,1
2021-11-02,NFLX,-1,1,1.5596422978730455,681.17,690.31,674.05,645.44,-1
2021-11-02,NIO,1,0,0.48426335746752863,40.84,39.41,40.79,37.83,1
2021-11-02,PG,0,0,0.6871938400804961,131.64,131.96,131.68,130.33,0
2021-11-02,PYPL,0,0,0.40094053082310543,231.28,232.59,236.83,253.07,0
2021-11-02,TSLA,0,1,3.5716738019734615,402.86,371.33,359.01,299.66,0
2021-11-02,TSM,0,0,-0.08763576834914386,107.19,106.79,108.96,105.96,0
2021-11-02,XPEV,-1,0,-0.5543755389581436,47.87,46.63,46.24,41.64,-1
2021-11-03,AAPL,1,0,-0.3498579917512873,147.23,146.18,147.01,143.33,1
2021-11-03,AMD,0,1,5.339769620689389,127.63,125.23,120.23,114.11,0
2021-11-03,AMZN,0,1,2.748232410840919,165.64,165.91,168.62,166.74,0
2021-11-03,BX,1,0,0.02075902769164346,128.42,122.74,123.5,112.5,1
2021-11-03,GOOG,1,0,1.289609948240557,145.18,143.1,147.57,140.36,1
2021-11-03,META,-1,0,1.2755336019835142,326.54,328.43,322.05,326.51,-1
2021-11-03,MSFT,0,0,0.7305508113728645,323.47,319.82,322.0,297.82,0
2021-11-03,NIO,0,1,3.903611884059676,41.3,40.84,39.41,37.99,0
2021-11-03,PYPL,0,0,-0.9375829569966826,229.46,231.28,232.59,251.99,0
2021-11-03,TSLA,0,0,1.322229787968372,390.67,402.86,371.33,303.8,0
2021-11-03,TSM,0,1,3.315489192272852,107.18,107.19,106.79,106.02,0
2021-11-04,AAPL,-1,0,0.35820339645374727,148.67,147.23,146.18,143.88,-1
2021-11-04,AMD,0,0,-0.8436390269886364,130.53,127.63,125.23,115.48,0
2021-11-04,AMZN,-1,0,1.2076429283743602,169.2,165.64,165.91,167.18,-1
2021-11-04,GOOG,-1,0,0.37530853809910625,146.1,145.18,143.1,140.95,-1
2021-11-04,MSFT,-1,0,-0.1129505339997829,324.31,323.47,319.82,300.07,-1
2021-11-04,NIO,1,-1,-1.9248563008281663,41.5,41.3,40.84,38.36,1
2021-11-04,PG,-1,0,0.495461690606719,133.86,132.95,131.64,130.74,-1
2021-11-04,PYPL,-1,0,-1.0691448726470796,230.38,229.46,231.28,250.87,-1
2021-11-04,TSLA,1,0,-0.635816993386208,404.62,390.67,402.86,310.35,1
2021-11-04,TSM,0,0,0.008502888258049212,107.08,107.18,107.19,106.23,0
2021-11-04,VZ,0,0,0.7521535539461138,43.07,42.77,43.08,42.93,0
2021-11-04,XPEV,0,-1,-3.0309380399552857,46.64,46.9,47.87,42.45,0
2021-11-05,AAPL,-1,0,-0.5552769164596887,148.15,148.67,147.23,144.32,-1
2021-11-05,AMD,1,1,10.136429291056093,137.5,130.53,127.63,117.1,1
2021-11-05,AMZN,-1,0,-0.8527948857282952,173.85,169.2,165.64,167.76,-1
2021-11-05,DIS,1,0,0.7060299494328356,168.2,168.0,167.76,170.03,1
2021-11-05,GOOG,-1,0,0.07402497824245019,147.98,146.1,145.18,141.52,-1
2021-11-05,INTC,1,0,1.2372288677527532,46.66,46.41,45.92,47.8,1
2021-11-05,META,1,0,-0.7357911116160476,334.27,330.06,326.54,326.88,1
2021-11-05,MSFT,0,0,0.2767335712238236,326.68,324.31,323.47,302.17,0
2021-11-05,NIO,1,1,2.1518085308860577,43.12,41.5,41.3,38.78,1
2021-11-05,PG,0,0,-0.746349681745935,134.11,133.86,132.95,131.03,0
2021-11-05,TSLA,0,-1,-4.84007095338631,409.97,404.62,390.67,317.16,0
2021-11-05,TSM,0,1,2.640063692457993,110.63,107.08,107.18,106.6,0
2021-11-05,ZS,1,1,3.4506258767864804,331.9,327.5,325.87,300.26,1
2021-11-08,AAPL,-1,0,0.24597298445913912,148.68,148.15,148.67,145.18,-1
2021-11-08,AMD,0,0,-0.8257894665175474,136.34,137.5,130.53,119.87,0
2021-11-08,AMZN,1,1,2.500723801659977,175.95,173.85,169.2,168.71,1
2021-11-08,DIS,1,0,-0.9950738451606232,173.49,168.2,168.0,169.53,1
2021-11-08,INTC,0,0,-0.6789571940053001,47.23,46.66,46.41,47.49,0
